date,gold,silver
17.10.2020,"4783,12","61,06"
16.10.2020,"4740,64","59,98"
15.10.2020,"4711,68","60,06"
14.10.2020,"4772,77","61,96"
13.10.2020,"4754,14","62,06"
10.10.2020,"4736,09","60,22"
09.10.2020,"4737,92","60,02"
08.10.2020,"4740,23","59,08"
07.10.2020,"4827,56","61,34"
06.10.2020,"4771,68","60,07"
03.10.2020,"4786,39","59,92"
02.10.2020,"4709,54","58,68"
01.10.2020,"4770,62","60,1"
30.09.2020,"4822,55","61,06"
29.09.2020,"4681,68","57,9"
26.09.2020,"4618,65","55,89"
25.09.2020,"4592,32","55,14"
24.09.2020,"4635,01","57,92"
23.09.2020,"4666,73","59,59"
22.09.2020,"4720,43","64,44"
19.09.2020,"4715,5","65,28"
18.09.2020,"4680,61","64,66"
17.09.2020,"4733,17","65,96"
16.09.2020,"4746,61","66,59"
15.09.2020,"4665,67","64,58"
12.09.2020,"4681,88","64,71"
11.09.2020,"4722,48","65,82"
10.09.2020,"4716,38","64,9"
09.09.2020,"4690,71","65,15"
08.09.2020,"4686,6","65,21"
05.09.2020,"4683,5","64,82"
04.09.2020,"4692,8","65,27"
03.09.2020,"4675,61","65,79"
02.09.2020,"4703,11","68,34"
01.09.2020,"4644,5","64,9"
29.08.2020,"4693,4","65,63"
28.08.2020,"4689,71","65,9"
27.08.2020,"4659,27","64,1"
26.08.2020,"4612,67","63,47"
25.08.2020,"4659,72","64,33"
22.08.2020,"4604,75","63,97"
21.08.2020,"4572,94","63,84"
20.08.2020,"4693,26","64,61"
19.08.2020,"4733,95","66,87"
18.08.2020,"4574,27","63,14"
15.08.2020,"4586,18","62,86"
14.08.2020,"4569,73","62,12"
13.08.2020,"4548,31","60,77"
12.08.2020,"4695,8","66,51"
11.08.2020,"4815,71","67,05"
08.08.2020,"4880,61","67,07"
07.08.2020,"4811,98","65,48"
06.08.2020,"4793,21","63,48"
05.08.2020,"4653,01","57,4"
04.08.2020,"4704,01","57,77"
01.08.2020,"4661,68","56,82"
31.07.2020,"4604,62","54,63"
30.07.2020,"4538,78","56,52"
29.07.2020,"4466,49","54,44"
28.07.2020,"4466,19","56,1"
25.07.2020,"4359,47","51,74"
24.07.2020,"4294,6","52,16"
23.07.2020,"4212,67","50,63"
22.07.2020,"4159,87","46,9"
21.07.2020,"4188,41","44,98"
18.07.2020,"4156,86","44,18"
17.07.2020,"4132,77","44,07"
16.07.2020,"4118,45",44
15.07.2020,"4112,12","43,21"
14.07.2020,"4112,58","43,43"
11.07.2020,"4135,33","42,98"
10.07.2020,"4130,29","42,92"
09.07.2020,"4121,14","42,34"
08.07.2020,"4119,83","41,81"
07.07.2020,"4069,87","41,87"
04.07.2020,"4022,46","40,84"
03.07.2020,"4017,25","40,64"
02.07.2020,"4047,99","41,26"
01.07.2020,"4010,17","40,41"
30.06.2020,3978,"40,27"
27.06.2020,"3916,32","39,63"
26.06.2020,"3927,51","39,15"
25.06.2020,"3929,94","39,52"
24.06.2020,"3887,67","39,42"
23.06.2020,"3899,24","39,9"
20.06.2020,"3866,43","39,2"
19.06.2020,"3878,14","39,43"
18.06.2020,"3836,28","39,03"
17.06.2020,"3875,98","39,04"
16.06.2020,"3871,06","38,67"
12.06.2020,"3848,83","39,72"
11.06.2020,"3789,36","39,08"
10.06.2020,"3770,05","38,93"
09.06.2020,"3716,12","38,72"
06.06.2020,"3772,23","38,79"
05.06.2020,"3786,42","39,39"
04.06.2020,"3773,95","39,24"
03.06.2020,"3859,62","40,52"
02.06.2020,"3888,16","40,7"
30.05.2020,"3925,38","40,01"
29.05.2020,"3939,39","39,64"
28.05.2020,"3895,83","39,27"
27.05.2020,"3940,32","39,57"
26.05.2020,"3990,41","39,13"
23.05.2020,"4003,7","39,29"
22.05.2020,"3951,23","39,23"
21.05.2020,"4070,13","40,63"
20.05.2020,"4038,71","39,85"
19.05.2020,"4122,31","40,71"
16.05.2020,"4083,17","38,25"
15.05.2020,"4079,71","36,91"
14.05.2020,"4021,35","36,81"
13.05.2020,"4021,69","36,56"
09.05.2020,"4047,21","35,58"
08.05.2020,"4023,9","35,7"
07.05.2020,"4040,41","35,85"
01.05.2020,"4014,11","35,86"
30.04.2020,"4041,8","35,93"
29.04.2020,"4095,17","36,31"
28.04.2020,"4112,99","36,42"
25.04.2020,"4149,17","36,79"
24.04.2020,"4172,81","36,97"
23.04.2020,"4217,37","36,93"
22.04.2020,"4115,41","36,7"
21.04.2020,"4044,82","36,37"
18.04.2020,"4025,22","36,04"
17.04.2020,"4126,35","37,23"
16.04.2020,"4057,99","36,9"
15.04.2020,"4044,48","36,56"
14.04.2020,"3972,83","35,87"
11.04.2020,"3985,1","35,98"
10.04.2020,"3987,68","36,4"
09.04.2020,"4016,12","36,69"
08.04.2020,"4008,13","36,57"
07.04.2020,"4020,39","35,76"
28.03.2020,"4051,63","36,03"
27.03.2020,"4100,44","35,35"
26.03.2020,"4054,15","34,08"
25.03.2020,"4054,83","31,71"
24.03.2020,"3886,3","32,84"
